customer_id,age,gender,city_tier,income_bracket,acquisition_channel,num_visits,avg_basket_size,discount_pct,category,brand_tier,flash_sale_response,flash_sale_frequency,nps_score,basket_trend,willingness_full_price,repurchase_intent,months_active,premium_loyal
TIRA00001,32,Female,Tier 1,₹6L-12L,App,5,1797.0,43.3,Skincare,Premium,1,5,5.9,1408.0,0,0,19,0
TIRA00002,21,Female,Tier 1,₹6L-12L,Influencer,5,3756.0,38.0,Skincare,Premium,1,0,7.0,3043.0,0,1,24,1
TIRA00003,36,Female,Tier 1,₹3L-6L,Word of Mouth,11,3500.0,31.1,Makeup,Masstige,1,3,7.0,2955.0,0,0,16,0
TIRA00004,37,Female,Tier 1,₹6L-12L,In-Store,8,1268.0,50.4,Makeup,Premium,1,5,7.2,948.0,0,1,18,0
TIRA00005,18,Female,Tier 2,₹12L-25L,Influencer,11,3747.0,24.7,Fragrance,Premium,0,6,4.9,3285.0,1,0,3,0
TIRA00006,19,Non-binary,Tier 3,₹6L-12L,In-Store,6,3540.0,28.8,Makeup,Masstige,0,5,8.1,3029.0,0,1,5,0
TIRA00007,31,Female,Tier 2,₹12L-25L,Paid Ad,12,2479.0,21.3,Skincare,Masstige,0,6,8.4,2215.0,1,1,5,0
TIRA00008,27,Female,Tier 1,₹12L-25L,Word of Mouth,4,2400.0,30.6,Skincare,Premium,1,2,7.1,2032.0,0,1,26,0
TIRA00009,29,Male,Tier 1,₹6L-12L,Influencer,7,3709.0,10.1,Skincare,Premium,0,1,8.1,3521.0,1,1,13,1
TIRA00010,23,Female,Tier 2,₹3L-6L,Word of Mouth,3,5131.0,23.7,Haircare,Masstige,0,2,7.6,4522.0,1,1,16,0
TIRA00011,37,Female,Tier 2,₹3L-6L,Influencer,8,3678.0,35.9,Makeup,Premium,1,4,5.7,3017.0,0,0,19,0
TIRA00012,36,Non-binary,Tier 1,₹3L-6L,Influencer,4,4137.0,80.0,Makeup,Premium,1,5,4.9,2482.0,0,0,13,0
TIRA00013,30,Female,Tier 3,₹12L-25L,In-Store,5,2201.0,80.0,Fragrance,Luxury,1,6,5.7,1321.0,0,0,5,0
TIRA00014,39,Female,Tier 1,₹12L-25L,Influencer,5,2703.0,18.6,Skincare,Premium,0,0,5.5,2451.0,1,0,17,0
TIRA00015,33,Female,Tier 2,₹25L+,Paid Ad,8,3930.0,17.5,Makeup,Masstige,0,2,7.8,3585.0,1,1,13,1
TIRA00016,23,Male,Tier 3,₹12L-25L,Influencer,9,1570.0,80.0,Skincare,Premium,1,0,4.9,942.0,0,0,21,0
TIRA00017,32,Female,Tier 2,₹6L-12L,App,7,3449.0,40.0,Skincare,Masstige,1,1,7.0,2758.0,0,1,23,1
TIRA00018,22,Female,Tier 1,₹6L-12L,In-Store,4,3792.0,30.4,Makeup,Premium,1,4,5.5,3215.0,0,0,27,0
TIRA00019,37,Female,Tier 2,₹6L-12L,Paid Ad,6,3154.0,20.9,Haircare,Premium,0,1,6.4,2825.0,1,0,18,0
TIRA00020,29,Female,Tier 1,₹6L-12L,Word of Mouth,2,3583.0,18.9,Fragrance,Luxury,0,7,5.8,3245.0,1,0,32,1
TIRA00021,28,Male,Tier 2,₹25L+,App,12,3269.0,4.0,Skincare,Premium,0,5,6.4,3204.0,1,0,35,0
TIRA00022,24,Female,Tier 1,₹6L-12L,App,4,2453.0,28.4,Makeup,Luxury,0,4,7.7,2105.0,0,1,24,0
TIRA00023,39,Non-binary,Tier 2,₹6L-12L,In-Store,4,1786.0,26.6,Fragrance,Premium,0,1,6.3,1548.0,0,0,33,0
TIRA00024,28,Female,Tier 3,₹6L-12L,App,9,3092.0,29.1,Fragrance,Premium,0,3,6.2,2642.0,0,0,35,0
TIRA00025,26,Female,Tier 1,₹3L-6L,Word of Mouth,7,4765.0,61.6,Haircare,Masstige,1,3,6.6,3298.0,0,0,30,0
TIRA00026,27,Male,Tier 1,₹25L+,In-Store,5,4429.0,26.7,Makeup,Masstige,0,4,6.6,3838.0,0,0,6,0
TIRA00027,34,Female,Tier 2,₹3L-6L,In-Store,6,2786.0,28.7,Skincare,Luxury,0,0,7.8,2385.0,0,1,24,1
TIRA00028,32,Female,Tier 1,₹3L-6L,App,13,2761.0,18.7,Haircare,Luxury,0,1,6.2,2502.0,1,0,6,1
TIRA00029,33,Male,Tier 1,₹6L-12L,In-Store,9,2672.0,41.3,Skincare,Premium,1,1,6.0,2121.0,0,0,11,0
TIRA00030,33,Female,Tier 1,₹12L-25L,Word of Mouth,5,2672.0,6.4,Makeup,Premium,0,2,6.8,2587.0,1,0,28,0
TIRA00031,47,Female,Tier 1,₹12L-25L,In-Store,11,3545.0,10.0,Skincare,Masstige,0,3,8.1,3368.0,1,1,19,1
TIRA00032,26,Non-binary,Tier 2,₹12L-25L,App,10,4469.0,50.7,Makeup,Premium,1,4,5.8,3337.0,0,0,23,0
TIRA00033,25,Female,Tier 2,₹6L-12L,App,8,5915.0,26.8,Makeup,Luxury,0,3,7.7,5124.0,0,1,14,1
TIRA00034,23,Female,Tier 1,₹3L-6L,Word of Mouth,13,2204.0,32.5,Skincare,Masstige,1,1,6.9,1846.0,0,0,31,0
TIRA00035,34,Female,Tier 1,₹25L+,Word of Mouth,2,3981.0,15.4,Makeup,Masstige,0,8,5.4,3675.0,1,0,13,1
TIRA00036,39,Female,Tier 1,₹6L-12L,App,6,3851.0,39.3,Skincare,Premium,1,5,6.2,3093.0,0,0,24,0
TIRA00037,29,Female,Tier 1,₹3L-6L,Influencer,11,2804.0,66.0,Fragrance,Premium,1,2,3.8,1879.0,0,0,28,0
TIRA00038,23,Female,Tier 2,₹12L-25L,App,14,1969.0,42.9,Luxury Tools,Masstige,1,5,6.6,1546.0,0,0,1,0
TIRA00039,23,Female,Tier 1,₹3L-6L,Influencer,8,3530.0,43.6,Skincare,Premium,1,6,6.8,2760.0,0,0,30,0
TIRA00040,35,Female,Tier 1,₹3L-6L,App,4,5744.0,57.8,Skincare,Premium,1,5,6.3,4085.0,0,0,24,0
TIRA00041,35,Female,Tier 3,₹12L-25L,Paid Ad,6,3523.0,16.2,Fragrance,Luxury,0,4,7.2,3238.0,1,1,7,1
TIRA00042,34,Female,Tier 1,₹6L-12L,Word of Mouth,11,2255.0,11.4,Fragrance,Luxury,0,6,5.9,2126.0,1,0,8,0
TIRA00043,24,Female,Tier 2,₹6L-12L,App,8,3011.0,40.2,Fragrance,Premium,1,4,6.6,2407.0,0,0,3,0
TIRA00044,31,Female,Tier 1,₹6L-12L,In-Store,7,1832.0,24.2,Makeup,Luxury,0,5,7.4,1610.0,1,1,16,0
TIRA00045,30,Female,Tier 1,₹12L-25L,App,6,3222.0,20.9,Skincare,Premium,0,2,7.0,2885.0,1,0,2,0
TIRA00046,31,Female,Tier 1,₹3L-6L,In-Store,7,4020.0,21.3,Wellness,Premium,0,3,7.2,3592.0,1,1,25,1
TIRA00047,36,Male,Tier 2,₹3L-6L,App,5,2369.0,36.3,Makeup,Masstige,1,3,4.7,1939.0,0,0,3,0
TIRA00048,31,Female,Tier 2,₹12L-25L,App,12,500.0,11.2,Makeup,Masstige,0,1,7.6,472.0,1,1,23,1
TIRA00049,35,Female,Tier 1,₹12L-25L,Word of Mouth,6,3532.0,51.3,Haircare,Premium,1,2,5.8,2627.0,0,0,26,0
TIRA00050,30,Male,Tier 1,₹25L+,App,9,2598.0,21.0,Haircare,Luxury,0,1,5.9,2325.0,1,0,14,0
TIRA00051,32,Female,Tier 1,₹6L-12L,Paid Ad,7,2299.0,14.8,Skincare,Premium,0,4,7.9,2129.0,1,1,13,1
TIRA00052,35,Female,Tier 2,₹3L-6L,App,10,2289.0,39.3,Wellness,Luxury,1,4,5.9,1839.0,0,0,25,0
TIRA00053,18,Female,Tier 2,₹12L-25L,In-Store,8,3680.0,36.9,Makeup,Masstige,1,2,6.8,3002.0,0,0,32,0
TIRA00054,27,Female,Tier 2,₹12L-25L,In-Store,11,2711.0,19.5,Skincare,Masstige,0,1,7.7,2447.0,1,1,34,1
TIRA00055,26,Female,Tier 3,₹3L-6L,Word of Mouth,5,4317.0,35.6,Skincare,Luxury,1,1,6.9,3548.0,0,0,22,0
TIRA00056,24,Male,Tier 1,₹12L-25L,App,7,4343.0,59.3,Makeup,Premium,1,3,4.3,3056.0,0,0,9,0
TIRA00057,27,Female,Tier 2,₹6L-12L,App,11,2875.0,4.7,Makeup,Premium,0,1,7.4,2808.0,1,1,13,1
TIRA00058,41,Male,Tier 2,₹12L-25L,Influencer,6,2575.0,33.9,Skincare,Masstige,1,6,8.8,2139.0,0,1,5,0
TIRA00059,23,Male,Tier 1,₹12L-25L,Influencer,13,3353.0,5.9,Makeup,Luxury,0,3,9.2,3254.0,1,1,1,1
TIRA00060,37,Female,Tier 3,₹6L-12L,Influencer,7,3026.0,80.0,Makeup,Masstige,1,3,5.6,1815.0,0,0,5,0
TIRA00061,18,Female,Tier 1,₹25L+,App,10,1097.0,23.7,Makeup,Luxury,0,5,7.3,967.0,1,1,28,1
TIRA00062,27,Female,Tier 2,₹25L+,App,10,5497.0,14.0,Wellness,Masstige,0,1,6.5,5113.0,1,0,17,0
TIRA00063,31,Non-binary,Tier 2,₹3L-6L,Paid Ad,10,4057.0,14.8,Skincare,Masstige,0,5,7.2,3756.0,1,1,20,1
TIRA00064,34,Female,Tier 3,₹6L-12L,Influencer,10,2644.0,49.6,Fragrance,Luxury,1,2,5.6,1988.0,0,0,11,0
TIRA00065,35,Female,Tier 1,₹12L-25L,Influencer,10,900.0,18.4,Skincare,Premium,0,4,7.2,818.0,1,1,3,1
TIRA00066,36,Female,Tier 1,₹3L-6L,App,11,2983.0,6.1,Skincare,Masstige,0,6,6.3,2893.0,1,0,17,0
TIRA00067,27,Female,Tier 2,₹6L-12L,App,6,2494.0,67.0,Skincare,Premium,1,6,6.3,1659.0,0,0,16,0
TIRA00068,26,Female,Tier 2,₹6L-12L,Word of Mouth,14,3127.0,50.6,Luxury Tools,Masstige,1,2,3.3,2336.0,0,0,3,0
TIRA00069,36,Female,Tier 1,₹25L+,Influencer,8,603.0,3.2,Skincare,Masstige,0,2,8.7,594.0,1,1,24,1
TIRA00070,28,Female,Tier 2,₹6L-12L,App,11,2633.0,39.5,Skincare,Masstige,1,3,7.3,2113.0,0,1,9,0
TIRA00071,19,Male,Tier 1,₹12L-25L,Word of Mouth,8,2706.0,19.5,Skincare,Premium,0,2,9.5,2443.0,1,1,18,1
TIRA00072,20,Female,Tier 2,₹6L-12L,Influencer,15,2969.0,22.4,Haircare,Masstige,0,0,6.9,2637.0,1,0,13,0
TIRA00073,22,Female,Tier 3,₹3L-6L,In-Store,9,2917.0,41.3,Makeup,Luxury,1,6,5.8,2314.0,0,0,4,0
TIRA00074,33,Female,Tier 1,₹25L+,In-Store,11,3263.0,23.6,Skincare,Luxury,0,3,7.2,2878.0,1,1,33,1
TIRA00075,31,Female,Tier 1,₹3L-6L,Influencer,5,5025.0,15.2,Makeup,Masstige,0,6,8.0,4644.0,1,1,22,1
